z_grid,area,stage,type,sample_id
37.89749029396424,10200.736532096591,HH17,mean,mean
50.529987058618985,12273.961432480042,HH17,mean,mean
63.16248382327373,14160.752324694977,HH17,mean,mean
75.79498058792848,16038.61654794988,HH17,mean,mean
88.42747735258322,17916.480771204788,HH17,mean,mean
101.05997411723797,19754.143719219854,HH17,mean,mean
113.69247088189272,21504.639187291763,HH17,mean,mean
126.32496764654746,23243.20367552835,HH17,mean,mean
138.9574644112022,24981.76816376494,HH17,mean,mean
151.58996117585696,26635.993567179055,HH17,mean,mean
164.2224579405117,28113.66969282228,HH17,mean,mean
176.85495470516645,29583.369672769626,HH17,mean,mean
189.4874514698212,31053.069652716975,HH17,mean,mean
202.11994823447594,32433.54430363524,HH17,mean,mean
214.7524449991307,33732.011307901696,HH17,mean,mean
227.38494176378543,35033.90675590452,HH17,mean,mean
240.01743852844018,36335.80220390736,HH17,mean,mean
252.64993529309493,37532.23481830307,HH17,mean,mean
265.2824320577497,38661.44749814368,HH17,mean,mean
277.9149288224044,39803.34605881085,HH17,mean,mean
290.54742558705914,40945.07920468178,HH17,mean,mean
303.1799223517139,42002.65817059919,HH17,mean,mean
315.8124191163687,43023.001105753145,HH17,mean,mean
328.4449158810234,44058.400896485786,HH17,mean,mean
341.0774126456781,45086.96700977474,HH17,mean,mean
353.7099094103329,46038.72062381976,HH17,mean,mean
366.3424061749877,46975.616940760585,HH17,mean,mean
378.9749029396424,47926.03238798026,HH17,mean,mean
391.6073997042971,48868.59958151068,HH17,mean,mean
404.2398964689519,49738.97358659061,HH17,mean,mean
416.87239323360666,50590.995937101914,HH17,mean,mean
429.5048899982614,51457.206432646926,HH17,mean,mean
442.1373867629161,52298.801670752,HH17,mean,mean
454.76988352757087,53069.7751820377,HH17,mean,mean
467.40238029222564,53844.28508662179,HH17,mean,mean
480.03487705688036,54638.04679326708,HH17,mean,mean
492.6673738215351,55393.60144924987,HH17,mean,mean
505.29987058618985,56109.53701330899,HH17,mean,mean
517.9323673508446,56830.63897553732,HH17,mean,mean
530.5648641154994,57562.21942532012,HH17,mean,mean
543.1973608801541,58260.52056870456,HH17,mean,mean
555.8298576448088,58940.366476472205,HH17,mean,mean
568.4623544094636,59578.23132948587,HH17,mean,mean
581.0948511741183,60184.90073716334,HH17,mean,mean
593.727347938773,60773.854074554554,HH17,mean,mean
606.3598447034278,61358.53918070553,HH17,mean,mean
618.9923414680826,61873.351277136164,HH17,mean,mean
631.6248382327374,62338.96535384813,HH17,mean,mean
644.257334997392,62882.96274596934,HH17,mean,mean
656.8898317620468,63429.07978051019,HH17,mean,mean
669.5223285267016,63923.548571489846,HH17,mean,mean
682.1548252913562,64414.47702031946,HH17,mean,mean
694.787322056011,65009.23966307018,HH17,mean,mean
707.4198188206658,65604.24144970569,HH17,mean,mean
720.0523155853206,66141.82599832432,HH17,mean,mean
732.6848123499753,66612.44768471256,HH17,mean,mean
745.31730911463,67091.7784529621,HH17,mean,mean
757.9498058792848,67543.38676253313,HH17,mean,mean
770.5823026439396,67953.01655406517,HH17,mean,mean
783.2147994085942,68212.76460743217,HH17,mean,mean
795.847296173249,68423.72278892309,HH17,mean,mean
808.4797929379038,68532.99710209493,HH17,mean,mean
821.1122897025585,68629.01090123809,HH17,mean,mean
833.7447864672133,68502.22396238487,HH17,mean,mean
846.377283231868,68300.91374156323,HH17,mean,mean
859.0097799965228,67889.1317947902,HH17,mean,mean
871.6422767611775,67467.86163765994,HH17,mean,mean
884.2747735258322,66777.1791958277,HH17,mean,mean
896.907270290487,66013.26627367012,HH17,mean,mean
909.5397670551417,65000.89068992636,HH17,mean,mean
922.1722638197965,63943.230960743036,HH17,mean,mean
934.8047605844513,62687.95799115189,HH17,mean,mean
947.437257349106,61316.71602864639,HH17,mean,mean
960.0697541137607,59669.44807611368,HH17,mean,mean
972.7022508784155,57953.892126888975,HH17,mean,mean
985.3347476430702,56130.182463474,HH17,mean,mean
997.9672444077249,54173.752264821036,HH17,mean,mean
1010.5997411723797,51985.471137529305,HH17,mean,mean
1023.2322379370345,49693.955593337996,HH17,mean,mean
1035.8647347016893,47377.74073596033,HH17,mean,mean
1048.497231466344,45013.25470050483,HH17,mean,mean
1061.1297282309988,42585.36500759607,HH17,mean,mean
1073.7622249956535,40204.084754984266,HH17,mean,mean
1086.3947217603081,37995.39623679879,HH17,mean,mean
1099.027218524963,35827.19904859336,HH17,mean,mean
1111.6597152896177,33699.42039543492,HH17,mean,mean
1124.2922120542723,31770.961854834793,HH17,mean,mean
1136.9247088189272,30125.660933031293,HH17,mean,mean
1149.557205583582,28711.070899905684,HH17,mean,mean
1162.1897023482366,27479.80865095054,HH17,mean,mean
1174.8221991128914,26591.49438716867,HH17,mean,mean
1187.454695877546,25995.942076574414,HH17,mean,mean
1200.087192642201,25699.281988875522,HH17,mean,mean
1212.7196894068557,25658.3569042801,HH17,mean,mean
1225.3521861715103,25974.825379284845,HH17,mean,mean
