stage,timepoint,radius,norm_height,angle_degrees,thickness,phh3,Curvature,Gauss_Curvature,Mean_Curvature,K1,K2
hh17,2025-09-18-13-02,145.5994847629459,0.787189589327771,107.43748319233356,60.74295511760255,76.407585,3.1974532473540363e-06,-5.001706734076048e-06,0.0016569571024927,0.0044491963136125,-0.0011352821086271
hh17,2025-09-18-13-02,158.05053819728923,0.7429209459738072,116.6745161716358,58.75965128306953,67.055565,3.7626478890764538e-06,-6.863542991124015e-06,0.0016635246580213,0.0048009619578358,-0.0014739126417931
hh17,2025-09-18-13-02,72.48204056552039,0.994592579525979,88.10220749833684,31.23107136096944,59.567753,3.871273889579036e-05,4.571398289945837e-05,0.0069865174847347,0.0088497253431899,0.0051233096262795
hh17,2025-09-18-13-02,184.5400578602704,0.8765770802236756,139.8248858839928,42.45800772498317,63.71452,3.919530656100455e-06,1.4661399632411823e-06,0.0017527091522828,0.0032212211164667,0.0002841971880989
hh17,2025-09-18-13-02,146.4986829046217,0.8374954058323855,118.29361987089528,46.37445738164968,70.3699,3.6014986064384937e-06,-1.8817874213047736e-06,0.0011769632999335,0.003037713109016,-0.000683786509149
hh17,2025-09-18-13-02,29.40005426215162,0.0026959430335018,145.60258323598072,74.22468863382603,77.49641,0.0002088746652625,-2.769367712974268e-06,0.0005046710987164,0.0023520203190588,-0.0013426781216258
hh17,2025-09-18-13-02,239.88623279591937,0.9443972552987272,14.866176939135729,31.02304951981361,45.688255,4.6366187265948526e-05,3.285256446521051e-05,0.0062767112995811,0.0089918559532016,0.0035615666459606
hh17,2025-09-18-13-02,245.8504820748881,0.8510724775654417,18.030481833926416,34.31526532008006,53.282608,4.17530701196149e-05,5.04068335965193e-07,0.0055596315533308,0.0110743431621417,4.491994451987311e-05
hh17,2025-09-18-13-02,235.79817466666464,0.8838083466901947,21.4486424424222,34.336701791832084,56.396145,4.58039340698265e-05,-8.22083534657981e-06,0.0046992983466018,0.0101740892058634,-0.0007754925126596
hh17,2025-09-18-13-02,167.39157962477697,0.6738724105085847,111.64594109013672,61.62705890174372,67.82048,9.492521992893224e-06,-5.732321541760661e-06,0.0023217689456984,0.0055328753599717,-0.0008893374685747
hh17,2025-09-18-13-02,246.1082338612072,0.7227396190849176,25.033721034108453,41.76814367128242,46.407806,2.41180597107275e-05,1.847894191709897e-05,0.005139309662598,0.0079501167672696,0.0023285025579264
hh17,2025-09-18-13-02,262.8991053954198,0.709814154806991,34.65172046288234,49.31230479917355,56.047882,2.1864900526289063e-05,2.027278377555396e-05,0.0050199826203436,0.0072393124266128,0.0028006528140745
hh17,2025-09-18-13-02,57.73141541843184,0.0308762711513992,126.2441451419512,47.20302645615574,89.09292,5.59907667123372e-05,-6.039585296275319e-06,0.0017327041920078,0.0047403794706969,-0.0012749710866812
hh17,2025-09-18-13-02,186.05167876577676,0.9710118065681528,18.19419028620277,29.47383349580126,42.301132,5.013757047076389e-05,4.959851136618438e-05,0.0074789728277562,0.01011715406715,0.0048407915883624
hh17,2025-09-18-13-02,217.7988078908106,0.7894246402119015,31.83928165501328,45.120089896149246,63.23179,2.2672567376253628e-05,9.9361552085726e-07,0.0051248762720602,0.0101497000348371,0.0001000525092833
hh17,2025-09-18-13-02,210.4337263711394,0.7517597951194472,31.680552734854075,47.30040719968997,52.896614,2.149567556850856e-05,4.412923638680982e-06,0.0046788195977578,0.008785328688699,0.0005723105068166
hh17,2025-09-18-13-02,15.969228518745451,0.0056299660843535,-126.58011747416762,87.3161221660028,78.41499,0.0001280732168859,-2.2671478951003006e-06,0.0011187694296928,0.0031010017672491,-0.0008634629078633
hh17,2025-09-18-13-02,24.345830900548805,0.0166683806549572,29.316525627265264,43.60381524510835,79.13991,0.0002160180146852,-2.2805648279766428e-06,0.0006659794704005,0.002387079101348,-0.0010551201605468
hh17,2025-09-18-13-02,47.7893082493697,0.0258182606116847,72.47317283374122,37.135704252384464,73.83982,0.00014149137588,-2.674768392203121e-06,0.0004716959502484,0.0021880873241255,-0.0012446954236287
hh17,2025-09-18-13-02,142.03925927224725,0.9833997346738512,141.6268277277798,39.40590644060878,65.05615,2.17786039103724e-05,3.1478484185063895e-05,0.0058050846922648,0.007520024376494,0.0040901450080356
hh17,2025-09-18-13-02,151.79857968076576,0.8133684918592282,139.6539872794579,48.043753112430224,67.10188,4.741664422508106e-06,-5.408969442000888e-06,0.0011404818117531,0.003698099147208,-0.0014171355237017
